"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","359","Добавление новой задачи в TodoMVC","tests","Wed Feb 25 20:30:06 UTC 2026","passed","Wed Feb 25 20:30:06 UTC 2026","","test_todo","",""
"","390","Клик по кнопке с составным локатором","tests","Wed Feb 25 20:30:06 UTC 2026","passed","Wed Feb 25 20:30:07 UTC 2026","","test_todo","",""
"","357","Авторизаиця с недействительными учетными данными","tests","Wed Feb 25 20:30:05 UTC 2026","passed","Wed Feb 25 20:30:05 UTC 2026","","test_login","",""
"","432","Обработка confirmation диалога","tests","Wed Feb 25 20:30:09 UTC 2026","passed","Wed Feb 25 20:30:09 UTC 2026","","test_todo","",""
"","338","Добавление и завершение задач","tests","Wed Feb 25 20:30:10 UTC 2026","passed","Wed Feb 25 20:30:10 UTC 2026","","test_todo","",""
"","525","Перетаскивание элемента drag and drop","tests","Wed Feb 25 20:30:08 UTC 2026","passed","Wed Feb 25 20:30:08 UTC 2026","","test_todo","",""
"","657","Авторизаиця с корректными учетными данными","tests","Wed Feb 25 20:30:05 UTC 2026","passed","Wed Feb 25 20:30:06 UTC 2026","","test_login","",""
"","540","Работа с чекбоксами и радиокнопками","tests","Wed Feb 25 20:30:07 UTC 2026","passed","Wed Feb 25 20:30:07 UTC 2026","","test_todo","",""
"","560","Проверка открытия новой вкладки","tests","Wed Feb 25 20:30:09 UTC 2026","passed","Wed Feb 25 20:30:10 UTC 2026","","test_todo","",""
"","664","Авторизаиця с корректными учетными данными","tests","Wed Feb 25 20:30:10 UTC 2026","passed","Wed Feb 25 20:30:11 UTC 2026","","test_login","",""
"","385","Выбор нескольких значений в select","tests","Wed Feb 25 20:30:08 UTC 2026","passed","Wed Feb 25 20:30:08 UTC 2026","","test_todo","",""
