"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","499","Проверка открытия новой вкладки","tests","Wed Feb 25 21:44:36 UTC 2026","passed","Wed Feb 25 21:44:37 UTC 2026","","test_todo","",""
"","358","Авторизаиця с недействительными учетными данными","tests","Wed Feb 25 21:44:03 UTC 2026","passed","Wed Feb 25 21:44:03 UTC 2026","","test_login","",""
"","692","Авторизаиця с корректными учетными данными","tests","Wed Feb 25 21:44:03 UTC 2026","passed","Wed Feb 25 21:44:04 UTC 2026","","test_login","",""
"","326","Перетаскивание элемента drag and drop","tests","Wed Feb 25 21:44:36 UTC 2026","passed","Wed Feb 25 21:44:36 UTC 2026","","test_todo","",""
"","390","Добавление новой задачи в TodoMVC","tests","Wed Feb 25 21:44:04 UTC 2026","passed","Wed Feb 25 21:44:04 UTC 2026","","test_todo","",""
"","247","Выбор нескольких значений в select","tests","Wed Feb 25 21:44:35 UTC 2026","passed","Wed Feb 25 21:44:35 UTC 2026","","test_todo","",""
"","296","Добавление и завершение задач","tests","Wed Feb 25 21:44:37 UTC 2026","passed","Wed Feb 25 21:44:37 UTC 2026","","test_todo","",""
"","382","Работа с чекбоксами и радиокнопками","tests","Wed Feb 25 21:44:35 UTC 2026","passed","Wed Feb 25 21:44:35 UTC 2026","","test_todo","",""
"","301","Обработка confirmation диалога","tests","Wed Feb 25 21:44:36 UTC 2026","passed","Wed Feb 25 21:44:36 UTC 2026","","test_todo","",""
"","369","Авторизаиця с корректными учетными данными","tests","Wed Feb 25 21:44:37 UTC 2026","passed","Wed Feb 25 21:44:37 UTC 2026","","test_login","",""
"","30226","Клик по кнопке с составным локатором","tests","Wed Feb 25 21:44:04 UTC 2026","broken","Wed Feb 25 21:44:35 UTC 2026","","test_todo","",""
